doc,id,original_text,reference_summary,title,uid
Pokemon GO Terms of Service,57866df76cca83a54c0035a1,by using our services you are agreeing to these terms our trainer guidelines and our privacy policy. if you are the parent or legal guardian of a child under the age of 13 the parent you are agreeing to these terms on behalf of yourself and your child ren who are authorized to use the services pursuant to these terms and in our privacy policy. if you don t agree to these terms our trainer guidelines and our privacy policy do not use the services.,by playing this game you agree to these terms. if you re under 13 and playing your parent guardian agrees on your behalf.,Agreement To Terms,legalsum02
Pokemon GO Terms of Service,5786730a6cca83a54c0035b6,if you want to use certain features of the services you will have to create an account with us an account. you can create an account if you have a a pre existing google account b a pre existing pok\u00e9mon trainer club ptc account c a pre existing account with facebook or d such other pre existing third party accounts as we may choose to support in the future notification of which will be provided by allowing selection of such pre existing accounts on the relevant account creation screen. we will create your account by extracting from your google ptc facebook or other pre existing third party account certain personal information such as your email address that your privacy settings on the applicable account permit us to access. it s important that you provide us with accurate complete and up to date information for your account and you agree to update such information as needed to keep it accurate complete and up to date. if you don t we might have to suspend or terminate your account. you agree that you won t disclose your account password to anyone and you ll notify us immediately of any unauthorized use of your account. you re responsible for all activities that occur under your account whether or not you know about them. registration by childrenwe comply with the children s online privacy protection act coppa through the verification and consent process handled by ptc. if you are over the age of 13 and register to create an account through ptc ptc will enable you to access and use the services. the parent of each child under the age of 13 must register with the pok\u00e9mon company international inc tpci through ptc before a child may use the services. tpci requires the parent to verify that he or she is the parent of the child and to consent to the creation of an account with us for the child. upon receipt of both parental verification and consent tpci will enable the parent to create an account with us for the child. if a parent does not consent to a child s access to and use of the services or does not verify the parent s consent through the consent process niantic will bar that child s registration for an account prevent the child s access to and use of the services and ensure that such child s information is not accessible through the services. if a parent has consented to a child s access to and use of the services but wishes to rescind such consent the parent should contact us at https pokemongo nianticlabs com support delete en to submit the request. we will discontinue that child s access to and use of the services and ensure that such child s information is no longer accessible through the services. parents of children under the age of 13 understand and agree that tpci and or niantic may provide information submitted to tpci and or niantic or collected via the services to third parties who use such information for the sole purpose of administering or providing services e g third party security monitoring services and web hosting companies. please see our privacy policy available athttp www nianticlabs com privacy pokemongo en for more information on how we collect use and disclose information from our users.,you have to use google pokemon trainer club or facebook to sign up and play. if you re under 13 your parent guardian has to do this for you. we might ban your account if your information is inaccurate.,Eligibility and Account Registration,legalsum03
Pokemon GO Terms of Service,57866df76cca83a54c0035a0,during game play please be aware of your surroundings and play safely. you agree that your use of the app and play of the game is at your own risk and it is your responsibility to maintain such health liability hazard personal injury medical life and other insurance policies as you deem reasonably necessary for any injuries that you may incur while using the services. you also agree not to use the app to violate any applicable law rule or regulation including but not limited to the laws of trespass or the trainer guidelines and you agree not to encourage or enable any other individual to violate any applicable law rule or regulation or the trainer guidelines. without limiting the foregoing you agree that in conjunction with your use of the app you will not inflict emotional distress on other people will not humiliate other people publicly or otherwise will not assault or threaten other people will not enter onto private property without permission will not impersonate any other person or misrepresent your affiliation title or authority and will not otherwise engage in any activity that may result in injury death property damage and or liability of any kind. to the extent permitted by applicable law niantic the pok\u00e9mon company tpc and tpci disclaim all liability related to any property damage personal injury or death that may occur during your use of our services including any claims based on the violation of any applicable law rule or regulation or your alleged negligence or other tort liability. further in the event that you have a dispute with one or more other users of the app you release niantic tpc and tpci and our officers directors agents subsidiaries joint ventures and employees from all claims demands and damages actual and consequential of every kind and nature known and unknown suspected and unsuspected disclosed and undisclosed arising out of or in any way connected with such disputes.,don t die or hurt others and if you do it s not our fault.,Safe Play,legalsum04
Pokemon GO Terms of Service,57866df76cca83a54c00359f,subject to your compliance with these terms niantic grants you a limited nonexclusive nontransferable non sublicensable license to download and install a copy of the app on a mobile device and to run such copy of the app solely for your own personal noncommercial purposes. except as expressly permitted in these terms you may not a copy modify or create derivative works based on the app b distribute transfer sublicense lease lend or rent the app to any third party c reverse engineer decompile or disassemble the app or d make the functionality of the app available to multiple users through any means. niantic reserves all rights in and to the app not expressly granted to you under these terms. if you accessed or downloaded the app from the apple store then you agree to use the app only a on an apple branded product or device that runs ios apple s proprietary operating system software and b as permitted by the usage rules set forth in the apple store terms of service. if you accessed or downloaded the app from any app store or distribution platform like the apple store google play or amazon appstore each an app provider then you acknowledge and agree that these terms are concluded between you and niantic and not with app provider and that as between us and the app provider niantic is solely responsible for the app. app provider has no obligation to furnish any maintenance and support services with respect to the app. in the event of any failure of the app to conform to any applicable warranty you may notify app provider and app provider will refund the purchase price for the app to you if applicable and to the maximum extent permitted by applicable law app provider will have no other warranty obligation whatsoever with respect to the app. any other claims losses liabilities damages costs or expenses attributable to any failure of an app to conform to any warranty will be the sole responsibility of niantic. app provider is not responsible for addressing any claims you have or any claims of any third party relating to the app or your possession and use of the app including but not limited to i product liability claims ii any claim that the app fails to conform to any applicable legal or regulatory requirement and iii claims arising under consumer protection or similar legislation. in the event of any third party claim that the app or your possession and use of the app infringes that third party s intellectual property rights niantic will be solely responsible for the investigation defense settlement and discharge of any such intellectual property infringement claim to the extent required by these terms. app provider and its subsidiaries are third party beneficiaries of these terms as related to your license of the app and that upon your acceptance of the terms and conditions of these terms app provider will have the right and will be deemed to have accepted the right to enforce these terms as related to your license of the app against you as a third party beneficiary thereof. you must also comply with all applicable third party terms of service when using the app. you agree to comply with all u s and foreign export laws and regulations to ensure that neither the app nor any technical data related thereto nor any direct product thereof is exported or re exported directly or indirectly in violation of or used for any purposes prohibited by such laws and regulations. by using the app you represent and warrant that i you are not located in a country that is subject to a u s government embargo or that has been designated by the u s government as a terrorist supporting country and ii you are not listed on any u s government list of prohibited or restricted parties.,don t copy modify resell distribute or reverse engineer this app.,Rights in App,legalsum05
Pokemon GO Terms of Service,57866df76cca83a54c00359e,for purposes of these terms a content means the text software scripts graphics photos sounds music videos audiovisual combinations interactive features works of authorship of any kind and information or other materials that are posted generated provided or otherwise made available through the services and b user content means any content that account holders including you provide to be made available through the services. content includes without limitation user content. subject to your compliance with these terms niantic grants you a personal noncommercial nonexclusive nontransferable non sublicensable revocable license to download view display and use the content solely in connection with your permitted use of the services. content ownershipniantic does not claim any ownership rights in any user content and nothing in these terms will be deemed to restrict any rights that you may have to use and exploit your user content. subject to the foregoing niantic and its licensors including tpc and tpci exclusively own all right title and interest in and to the services and content including all associated intellectual property rights. you acknowledge that the services and content are protected by copyright trademark and other laws of the united states and foreign countries. you agree not to remove alter or obscure any copyright trademark service mark or other proprietary rights notices incorporated in or accompanying the services or content. rights granted by youby making any user content available through services you grant to niantic a nonexclusive perpetual irrevocable transferable sublicensable worldwide royalty free license to use copy modify create derivative works based upon publicly display publicly perform and distribute your user content in connection with operating and providing the services and content to you and to other account holders. you are solely responsible for all your user content. you represent and warrant that you own all your user content or you have all rights that are necessary to grant us the license rights in your user content under these terms. you also represent and warrant that neither your user content nor your use and provision of your user content to be made available through the services nor any use of your user content by niantic on or through the services will infringe misappropriate or violate a third party s intellectual property rights or rights of publicity or privacy or result in the violation of any applicable law or regulation. niantic may reject any submissions in which niantic believes in its sole discretion that the user content is inappropriate or violates the trainer guidelines or these terms. niantic further reserves the right to remove any user content from the services at any time and without notice and for any reason.,we grant you full ownership of your user content. just don t hide our copyright trademarks.,Content and Content Rights,legalsum06
Pokemon GO Terms of Service,57866df76cca83a54c00359d,the app permits account holders to capture and trade virtual items including but not limited to pok\u00e9mon characters or creatures trading items during gameplay. unlike virtual money and virtual goods see below trading items are obtained at no additional charge during gameplay. trading items are a category of content and niantic grants you a limited nontransferable non sublicensable revocable license to use such trading items in conjunction with your personal noncommercial use of the services. you acknowledge that you do not acquire any ownership rights in or to trading items and that trading items do not have monetary value. trading items may be traded with other account holders for other trading items but trading items can never be sold transferred or exchanged for virtual money virtual goods real goods real money or real services or any other compensation or consideration from us or anyone else. you also agree that you will only obtain trading items from other account holders and through means provided by us and not from or through any third party platform exchange broker or other mechanism unless expressly authorized. we may cancel any trading items sold transferred or exchanged in violation of these terms. any such sale transfer or exchange or attempt to do so is prohibited and may result in the termination of your account. as set forth below all trading items and other content are provided as is without any warranty.,trading s gonna be a thing. don t try to bring real money into it.,Trading,legalsum07
Pokemon GO Terms of Service,5786730a6cca83a54c0035b5,we may cancel suspend or terminate your account and your access to your trading items virtual money virtual goods the content or the services in our sole discretion and without prior notice including if a your account is inactive i e not used or logged into for one year b you fail to comply with these terms c we suspect fraud or misuse by you of trading items virtual money virtual goods or other content d we suspect any other unlawful activity associated with your account or e we are acting to protect the services our systems the app any of our users or the reputation of niantic tpc or tpci. we have no obligation or responsibility to and will not reimburse or refund you for any trading items virtual money or virtual goods lost due to such cancellation suspension or termination. you acknowledge that niantic is not required to provide a refund for any reason and that you will not receive money or other compensation for unused virtual money and virtual goods when your account is closed whether such closure was voluntary or involuntary. we have the right to offer modify eliminate and or terminate trading items virtual money virtual goods the content and or the services or any portion thereof at any time without notice or liability to you. if we discontinue the use of virtual money or virtual goods we will provide at least 60 days advance notice to you by posting a notice on the site or app or through other communications.,if you haven t played for a year you mess up or we mess up we can delete all of your virtual goods. we don t have to give them back. we might even discontinue some virtual goods entirely but we ll give you 60 days advance notice if that happens.,"Effect of Termination on Trading Items, Virtual Money, and Virtual Goods",legalsum08
Pokemon GO Terms of Service,57866df76cca83a54c00359c,the app permits the purchase of virtual currency virtual money and use of that virtual money to purchase virtual items or services that we expressly make available for use in the app virtual goods. the purchase of virtual money and virtual goods is limited to account holders who are either a 18 years of age or older or b under the age of 18 and have the consent of a parent to make the purchase. parents of children under the age of 18 can consult the ios or google play settings for their app to restrict in app purchases but should also monitor their children s accounts for unexpected activity including the purchase of virtual money or virtual goods. purchases of virtual money and virtual goodsvirtual money is a category of content so the purchase of virtual money grants you only a limited nontransferable non sublicensable revocable license to use such virtual money to access and purchase virtual goods in conjunction with your personal noncommercial use of the services. you acknowledge that you do not acquire any ownership rights in or to the virtual money virtual goods or other content any balance of virtual goods or virtual money does not reflect any stored value. you agree that virtual money and virtual goods have no monetary value and do not constitute actual currency or property of any type. virtual money may be redeemed only for virtual goods and can never be sold transferred or exchanged for real money real goods or real services from us or anyone else. you also agree that you will only obtain virtual money and or virtual goods from us and through means provided by us and not from any third party platform exchange broker or other mechanism unless expressly authorized. once you acquire a license to virtual money or virtual goods you may not trade or transfer the virtual money or virtual goods to another individual or account unless such functionality is provided to you by us by way of a feature or service whether inside the app or through some other method e g our website. we may cancel any virtual money or virtual goods sold transferred or exchanged in violation of these terms. any such sale transfer or exchange or attempt to do so is prohibited and may result in the termination of your account. during the term of your license to your virtual money you have the right to redeem your virtual money for selected virtual goods. if you are the parent and you are accepting these terms on behalf of your child you accept and acknowledge that your child has your consent to exercise this right independently. pricing and availability of virtual money and virtual goods are subject to change without notice. we reserve the right at any time to change and update our pricing and inventory of virtual money and virtual goods. as set forth below all virtual money virtual goods and other content is provided as is without any warranty. you agree that all sales by us to you of virtual money and virtual goods are final and that we will not permit exchanges or refunds for any unused virtual money or virtual goods once the transaction has been made. purchases by end users outside the u s virtual money and virtual goods may only be purchased and held by legal residents of countries where access to and use of the services are permitted. if you live in the european union you have certain rights to withdraw from online purchases. however please note that once you download virtual money from us your right of withdrawal ends. you agree that a purchase of virtual money involves immediate download of such content and b you lose your right of withdrawal once your purchase is complete. if you live in the european union we will provide you with a vat invoice when we are required to do so by law. you agree that these invoices may be electronic in format. we reserve the right to control regulate change or remove any virtual money or virtual goods without any liability to you.,you can spend money on coins pokeballs. we ain t giving you that money back. want to buy gold online. too bad. oh and the eu gives people refund rights in some cases. not this one.,Virtual Money and Virtual Goods,legalsum09
Pokemon GO Terms of Service,57866f006cca83a54c0035a5,you agree that you are responsible for your own conduct and user content while using the services and for any consequences thereof. please refer to our trainer guidelines https pokemongo nianticlabs com support guidelines en for information about the kinds of conduct and user content that are prohibited while using the services. by way of example and not as a limitation you agree that when using the services and content you will not defame abuse harass harm stalk threaten or otherwise violate the legal rights including the rights of privacy and publicity of others upload post email transmit or otherwise make available any unlawful inappropriate defamatory obscene pornographic vulgar offensive fraudulent false misleading or deceptive content or message promote or engage in discrimination bigotry racism hatred or harassment against any individual or group trespass or in any manner attempt to gain or gain access to any property or location where you do not have a right or permission to be violate or encourage any conduct that would violate any applicable law or regulation or would give rise to civil liability upload post or otherwise make available commercial messages or advertisements pyramid schemes or other disruptive notices impersonate or misrepresent your affiliation with another person or entity promote or provide instructional information about illegal or harmful activities or substances promote or engage in physical harm violence or injury against any group or individual transmit any viruses worms defects trojan horses or any items of a destructive nature submit fake falsified misleading or inappropriate data submissions edits or removals post upload publish submit or transmit any content that infringes misappropriates or violates a third party s patent copyright trademark trade secret moral rights or other intellectual property rights or rights of publicity or privacy use display mirror or frame the services or any individual element within the services niantic s name any niantic trademark logo or other proprietary information or the layout and design of any page or form contained on a page without niantic s express written consent access tamper with or use nonpublic areas of the services niantic s computer systems or the technical delivery systems of niantic s providers attempt to probe scan or test the vulnerability of any niantic system or network or breach any security or authentication measures avoid bypass remove deactivate impair descramble or otherwise circumvent any technological measure implemented by niantic or any of niantic s providers or any other third party including another user to protect the services or content attempt to access or search the services or content or download content from the services through the use of any technology or means other than those provided by niantic or other generally available third party web browsers including without limitation automation software bots spiders crawlers data mining tools or hacks tools agents engines or devices of any kind extract scrape index copy or mirror the services or content or portions thereof including but not limited to the pok\u00e9stop database and other information about users or gameplay use any meta tags or other hidden text or metadata utilizing a niantic trademark logo url or product name without niantic s express written consent forge any tcp ip packet header or any part of the header information in any email or newsgroup posting or in any way use the services or content to send altered deceptive or false source identifying information attempt to decipher decompile disassemble or reverse engineer any of the software used to provide the services or content interfere with or attempt to interfere with the access of any user host or network including without limitation sending a virus overloading flooding spamming or mail bombing the services take any action that imposes or may impose an unreasonable or disproportionately large load on the services or niantic s infrastructure delete obscure or in any manner alter any attribution warning or link that appears in the services or the content use the services or content or any portion thereof for any commercial purpose or for the benefit of any third party or in a manner not permitted by these terms including but not limited to a gathering in app items or resources for sale outside the app b performing services in the app in exchange for payment outside the app or c sell resell rent or lease the app or your account collect or store any personally identifiable information from the services from other users of the services without their express permission violate any applicable law or regulation orencourage or enable any other individual to do any of the foregoing. although we re not obligated to monitor access to or use of the services or content or to review or edit any content we have the right to do so for the purpose of operating the services to ensure compliance with these terms and to comply with applicable law or other legal requirements. we reserve the right but are not obligated to remove or disable access to any content at any time and without notice including but not limited to if we at our sole discretion consider any content to be objectionable or in violation of these terms. we have the right to investigate violations of these terms or conduct that affects the services. we may also consult and cooperate with law enforcement authorities to prosecute users who violate the law.,don t be a jerk. don t hack or cheat. we don t have to ban you but we can. we ll also cooperate with law enforcement.,"Conduct, General Prohibitions, and Niantic\u2019s Enforcement Rights",legalsum10
Pokemon GO Terms of Service,5786730a6cca83a54c0035b4,we welcome feedback comments and suggestions for improvements to the services feedback. you can submit feedback by reaching out to us on facebook twitter or google. you grant to us a nonexclusive worldwide perpetual irrevocable fully paid royalty free sublicensable and transferable license under any and all intellectual property rights that you own or control to use copy modify create derivative works based upon and otherwise exploit the feedback for any purpose.,give us feedback and we can do whatever we want with it.,Feedback,legalsum11
